,State Code,County Code,Site Num,POC,Latitude,Longitude,Datum,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
22,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-23,24,100.0,45.166667,55.2,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
23,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-24,24,100.0,47.708333,58.0,23,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
24,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-25,24,100.0,55.933333,68.6,2,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
25,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-26,24,100.0,42.6125,53.6,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
26,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-27,24,100.0,41.620833,56.0,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
27,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-28,24,100.0,46.725,62.9,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
28,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-29,24,100.0,57.433333,68.1,11,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
29,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-30,24,100.0,65.120833,69.3,11,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
30,1,53,1000,1,31.0921,-87.5435,NAD83,2023-01-31,24,100.0,66.575,76.5,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
31,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-01,24,100.0,55.683333,60.8,0,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
32,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-02,24,100.0,51.341667,54.3,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
33,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-03,24,100.0,48.295833,56.3,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
34,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-04,24,100.0,45.179167,61.2,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
35,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-05,24,100.0,53.108333,67.3,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
36,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-06,24,100.0,53.079167,69.9,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
37,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-07,24,100.0,60.070833,72.4,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
38,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-08,24,100.0,68.375,76.7,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
39,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-09,24,100.0,61.854167,67.1,1,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
40,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-10,24,100.0,54.733333,57.8,0,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
41,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-11,24,100.0,47.108333,51.6,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
42,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-12,24,100.0,47.945833,60.2,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
43,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-13,24,100.0,49.8375,68.5,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
44,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-14,24,100.0,58.120833,72.9,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
45,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-15,24,100.0,67.325,75.4,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
46,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-16,24,100.0,71.054167,76.3,11,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
47,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-17,24,100.0,46.579167,72.4,0,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
48,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-18,24,100.0,42.075,56.8,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
49,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-19,24,100.0,52.825,68.4,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
50,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-20,24,100.0,62.1375,75.8,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
51,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-21,24,100.0,69.770833,78.3,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
52,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-22,24,100.0,73.004167,79.8,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
53,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-23,24,100.0,73.266667,76.6,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
54,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-24,24,100.0,72.929167,80.8,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
55,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-25,24,100.0,71.4625,81.2,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
56,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-26,24,100.0,68.770833,78.8,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
57,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-27,24,100.0,72.241667,79.2,13,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
58,1,53,1000,1,31.0921,-87.5435,NAD83,2023-02-28,24,100.0,72.9125,82.1,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
59,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-01,24,100.0,73.020833,81.2,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
60,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-02,24,100.0,72.541667,80.2,12,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
61,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-03,24,100.0,71.8875,80.4,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
62,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-04,24,100.0,63.304167,76.2,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
63,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-05,24,100.0,63.5,78.4,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
64,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-06,24,100.0,65.6375,80.7,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
65,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-07,24,100.0,72.295833,81.6,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
66,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-08,24,100.0,69.741667,81.6,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
67,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-09,24,100.0,67.8875,76.1,15,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
68,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-10,24,100.0,67.295833,74.3,10,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
69,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-11,24,100.0,60.495833,71.8,16,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
70,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-12,24,100.0,64.579167,70.6,8,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
71,1,53,1000,1,31.0921,-87.5435,NAD83,2023-03-13,24,100.0,53.4,62.0,14,60,Instrumental - Vaisala 435C RH/AT Sensor,PCI MET1,Jack Springs Rd,Alabama,Escambia,Not in a city,,2023-07-18
